"ADMINID","ENRORGID","PERMNUMBER","GRADE","GRADEBEGIN","GRADEEND","SY"
"SU021","PS187","1197358","11","09/08/2020","","2021"
"SU021","PS187","1197392","11","09/08/2020","","2021"
"SU021","PS187","1197466","09","09/08/2020","","2021"
"SU021","PS187","1197610","08","09/08/2020","","2021"
"SU021","PS187","1197621","11","09/08/2020","","2021"
"SU021","PS187","1197638","09","09/08/2020","","2021"
"SU021","PS187","1197641","11","09/08/2020","","2021"
"SU021","PS187","1197985","12","09/08/2020","09/20/2020","2021"
"SU021","PS187","1198114","12","09/08/2020","","2021"
"SU021","PS187","1198140","12","09/08/2020","","2021"
"SU021","PS187","1198228","12","09/08/2020","","2021"
"SU021","PS187","1198260","12","09/08/2020","","2021"
"SU021","PS187","1198442","12","09/08/2020","09/09/2020","2021"
"SU021","PS187","1198445","10","09/08/2020","","2021"
"SU021","PS187","1198518","12","09/08/2020","","2021"
"SU021","PS187","1198519","12","09/14/2020","","2021"
"SU021","PS187","1198554","12","09/08/2020","","2021"
"SU021","PS187","1198571","10","09/08/2020","","2021"
"SU021","PS187","1198627","12","09/08/2020","","2021"
"SU021","PS187","1198628","12","09/08/2020","","2021"
"SU021","PS187","1198633","12","09/08/2020","","2021"
"SU021","PS187","1198651","12","09/08/2020","","2021"
"SU021","PS187","1198660","11","09/08/2020","","2021"
"SU021","PS187","1198682","12","09/08/2020","","2021"
"SU021","PS187","1198708","12","09/08/2020","","2021"
"SU021","PS187","1198753","12","09/08/2020","","2021"
"SU021","PS187","1198765","12","09/08/2020","","2021"
"SU021","PS187","1198766","12","09/08/2020","","2021"
"SU021","PS187","1198795","12","09/08/2020","","2021"
"SU021","PS187","1198937","11","09/08/2020","","2021"
"SU021","PS187","1199047","12","09/08/2020","","2021"
"SU021","PS187","1199081","12","09/08/2020","","2021"
"SU021","PS187","1199181","12","09/08/2020","","2021"
"SU021","PS187","1202433","12","09/08/2020","","2021"
"SU021","PS187","1202480","12","09/08/2020","","2021"
